A|B|C|D
0|0.0064306548|-0.0035565431|-0.0047506715
3.61570486613843E-05|0.0064306548|-0.0038116444125|-0.00390857265
6.88903285654644E-05|0.0064306548|-0.0040103454|-0.0031348907
9.92050230399704E-05|0.0064306548|-0.0041553414875|-0.0024272801
0.000127823509151966|0.0064306548|-0.0042493281|-0.0017833953
0.000155235545071185|0.0064306548|-0.0042950006625|-0.00120089075
0.000181743435470007|0.0064306548|-0.0042950546|-0.0006774209
0.000207502398470305|0.0064306548|-0.0042521853375|-0.0002106402
0.000232556357557929|0.0064306548|-0.0041690883|0.0002017969
0.000256869381885928|0.0064306548|-0.0040484589125|0.00056223595
0.000280352998387582|0.0064306548|-0.0038929926|0.0008730225
0.000302889599120388|0.0064306548|-0.0037053847875|0.0011365021
0.000324352167262092|0.0064306548|-0.0034883309|0.0013550203
0.000344620545179881|0.0064306548|-0.0032445263625|0.00153092265
0.00036359446799386|0.0064306548|-0.0029766666|0.0016665547
0.000381203586055912|0.0064306548|-0.0026874470375|0.001764262
0.000397414699765062|0.0064306548|-0.0023795631|0.0018263901
0.000412236430140459|0.0064306548|-0.0020557102125|0.00185528455
0.000425721548573082|0.0064306548|-0.0017185838|0.0018532909
0.000437967189177288|0.0064306548|-0.0013708792875|0.0018227547
0.000449113167163318|0.0064306548|-0.0010152921|0.0017660215
0.000459338626651859|0.0064306548|-0.0006545176625|0.00168543685
0.000468857241351798|0.0064306548|-0.0002912514|0.0015833463
0.000477911191522261|0.0064306548|7.18112624999999E-05|0.0014620954
0.000486764140640054|0.0064306548|0.0004319749|0.0013240297
0.000495693435193631|0.0064306548|0.0007865440875|0.00117149475
0.000504981751024686|0.0064306548|0.0011328234|0.0010068361
0.000514908409638485|0.0064306548|0.0014681174125|0.000832399299999999
0.000525740587904065|0.0064306548|0.0017897307|0.000650529899999999
0.000537724644565393|0.0064306548|0.0020949678375|0.000463573449999999
0.000551077786984614|0.0064306548|0.0023811334|0.000273875499999998
0.000565980301538487|0.0064306548|0.0026455319625|8.37815999999984E-05
0.000582568571089128|0.0064306548|0.0028854681|-0.000104362700000002
0.000600929102950186|0.0064306548|0.0030982463875|-0.000288211850000002
0.000621093790769533|0.0064306548|0.0032811714|-0.000465420300000002
0.00064303663374962|0.0064306548|0.0034315477125|-0.000633642500000002
0.000666672136626573|0.0064306548|0.0035466799|-0.000790532900000002
0.000691855613829177|0.0064306548|0.0036238725375|-0.000933745950000002
0.000718385621238834|0.0064306548|0.0036604302|-0.0010609361
0.000746008738971622|0.0064306548|0.0036536574625|-0.0011697578
0.000774426928603563|0.0064306548|0.0036008589|-0.0012578655
0.000803307688260221|0.0064306548|0.0034993390875|-0.00132291365
0.000832297228991721|0.0064306548|0.0033464026|-0.0013625567
0.000861036895854334|0.0064306548|0.0031393540125|-0.0013744491
0.000889183057119709|0.0064306548|0.0028754979|-0.0013562453
0.000916430685032892|0.0064306548|0.0025521388375|-0.00130559975
0.000942540851540218|0.0064306548|0.0021665814|-0.0012201669
0.000967372362408219|0.0064306548|0.0017161301625|-0.0010976012
0.000990917753154629|0.0064306548|0.0011980897|-0.000935557100000004
0.00101334387021263|0.0064306548|0.0006097645875|-0.000731689050000004
0.00103503726074942|0.0064306548|-5.15405999999997E-05|-0.000483651500000004
